syb,ensb_gene_id,ensb_prot_id
MT-ND2,ENSG00000198763,ENSP00000355046
MT-CO1,ENSG00000198804,ENSP00000354499
MT-CO2,ENSG00000198712,ENSP00000354876
MT-ATP8,ENSG00000228253,ENSP00000355265
MT-ATP6,ENSG00000198899,ENSP00000354632
MT-CO3,ENSG00000198938,ENSP00000354982
MT-ND3,ENSG00000198840,ENSP00000355206
MT-ND4L,ENSG00000212907,ENSP00000354728
MT-ND4,ENSG00000198886,ENSP00000354961
MT-ND5,ENSG00000198786,ENSP00000354813
MT-ND6,ENSG00000198695,ENSP00000354665
MT-CYB,ENSG00000198727,ENSP00000354554
,ENSG00000278704,ENSP00000484918
,ENSG00000278633,ENSP00000484693
,ENSG00000273748,ENSP00000479921
,ENSG00000277400,ENSP00000483280
,ENSG00000276256,ENSP00000484596
MAFIP,ENSG00000274847,ENSP00000478910
,ENSG00000277630,ENSP00000479139
,ENSG00000277196,ENSP00000481127
,ENSG00000271254,ENSP00000478665
,ENSG00000278817,ENSP00000482514
,ENSG00000276017,ENSP00000481613
,ENSG00000268674,ENSP00000473163
,ENSG00000277475,ENSP00000478882
,ENSG00000275063,ENSP00000478289
,ENSG00000277856,ENSP00000481152
,ENSG00000276345,ENSP00000478035
,ENSG00000274175,ENSP00000479378
,ENSG00000278384,ENSP00000480106
,ENSG00000273554,ENSP00000480079
,ENSG00000275869,ENSP00000482038
,ENSG00000277836,ENSP00000478725
FAM20C,ENSG00000288499,ENSP00000499851
,ENSG00000288431,ENSP00000500776
,ENSG00000288260,ENSP00000499933
ECSCR,ENSG00000288297,ENSP00000500743
SMIM33,ENSG00000288274,ENSP00000500347
STING1,ENSG00000288243,ENSP00000500823
,ENSG00000288319,ENSP00000500369
OR9G1,ENSG00000261958,ENSP00000461395
OR9G9,ENSG00000262191,ENSP00000458970
OR9G4,ENSG00000262647,ENSP00000459325
OR5G3,ENSG00000281107,ENSP00000485881
PRY,ENSG00000169789,ENSP00000302319
GRK1,ENSG00000288263,ENSP00000499886
USP9Y,ENSG00000114374,ENSP00000342812
PRY2,ENSG00000169807,ENSP00000303300
EIF1AY,ENSG00000198692,ENSP00000354722
BPY2,ENSG00000183753,ENSP00000329106
TOLLIP,ENSG00000291426,ENSP00000516890
BRSK2,ENSG00000291428,ENSP00000516905
DUSP8,ENSG00000291431,ENSP00000516910
KRTAP5-1,ENSG00000291433,ENSP00000516911
KRTAP5-2,ENSG00000291434,ENSP00000516912
KRTAP5-3,ENSG00000291435,ENSP00000516913
KRTAP5-4,ENSG00000291440,ENSP00000516914
KRTAP5-5,ENSG00000291443,ENSP00000516916
MOB2,ENSG00000291442,ENSP00000516915
TSPY10,ENSG00000236424,ENSP00000406407
TSPY1,ENSG00000258992,ENSP00000403304
RBMY1D,ENSG00000244395,ENSP00000372127
HSFY2,ENSG00000169953,ENSP00000306549
TSPY8,ENSG00000291455,ENSP00000516917
TSPY4,ENSG00000291458,ENSP00000516920
TSPY9,ENSG00000291459,ENSP00000516923
KDM5D,ENSG00000012817,ENSP00000322408
HSFY1,ENSG00000172468,ENSP00000303599
TGIF2LY,ENSG00000176679,ENSP00000318502
RBMY1F,ENSG00000169800,ENSP00000307155
CDY2A,ENSG00000182415,ENSP00000250838
BPY2C,ENSG00000185894,ENSP00000371724
DAZ4,ENSG00000205916,ENSP00000508087
CDY2B,ENSG00000129873,ENSP00000372319
SRY,ENSG00000184895,ENSP00000372547
