Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
AUTS2,ENSG00000158321,0.0003607158659848,0.9996392841340151,7,1.0
ADNP,ENSG00000101126,0.0007507351686352,0.9992492648313648,20,1.0
MBD5,ENSG00000204406,0.0008976320653292,0.9991023679346708,2,1.0
CHD8,ENSG00000100888,0.0009005767182795,0.9990994232817204,14,1.0
PTCHD1,ENSG00000165186,0.0011408613395147,0.9988591386604851,X,1.0
RALGAPB,ENSG00000170471,0.0011880539994002,0.9988119460005996,20,1.0
SYNGAP1,ENSG00000197283,0.0012484290745742,0.9987515709254258,6,1.0
MED13L,ENSG00000123066,0.001559102033333,0.9984408979666668,12,1.0
IQSEC2,ENSG00000124313,0.0017286830344702,0.9982713169655296,X,1.0
SETD5,ENSG00000168137,0.0026101807037938,0.9973898192962062,3,1.0
NLGN3,ENSG00000196338,0.0033490243836034,0.9966509756163966,X,1.0
KMT5B,ENSG00000110066,0.0033818771772893,0.9966181228227108,11,1.0
NLGN4X,ENSG00000146938,0.0036173692504245,0.9963826307495754,X,1.0
MECP2,ENSG00000169057,0.0037197064661238,0.996280293533876,X,1.0
ANKRD11,ENSG00000167522,0.0038436799832427,0.9961563200167572,16,1.0
CDKL5,ENSG00000008086,0.0039139315145462,0.9960860684854538,X,1.0
PCDH19,ENSG00000165194,0.0043111933494189,0.995688806650581,X,1.0
TBR1,ENSG00000136535,0.004709297711877,0.995290702288123,2,1.0
ARID1B,ENSG00000049618,0.0047253744612549,0.995274625538745,6,1.0
ASH1L,ENSG00000116539,0.0053496533661784,0.9946503466338216,1,1.0
MYT1L,ENSG00000186487,0.0055681438536,0.9944318561464,2,1.0
FOXP2,ENSG00000128573,0.0056029612739245,0.9943970387260754,7,1.0
PHF3,ENSG00000118482,0.0060978186996412,0.9939021813003588,6,1.0
ASXL3,ENSG00000141431,0.0061562701102985,0.9938437298897016,18,1.0
NRXN1,ENSG00000179915,0.0086553496604249,0.9913446503395752,2,1.0
TCF20,ENSG00000100207,0.0093833933902263,0.9906166066097736,22,1.0
ARX,ENSG00000004848,0.009807460991837,0.990192539008163,X,1.0
GIGYF1,ENSG00000146830,0.0099384183281745,0.9900615816718256,7,1.0
SLC9A6,ENSG00000198689,0.0099423996321906,0.9900576003678092,X,1.0
NEXMIF,ENSG00000050030,0.0106212826828684,0.9893787173171316,X,1.0
FMR1,ENSG00000102081,0.0116928349944704,0.9883071650055296,X,1.0
SHANK2,ENSG00000162105,0.0120524379209034,0.9879475620790964,11,1.0
SCN2A,ENSG00000136531,0.0132380913392364,0.9867619086607636,2,1.0
RELN,ENSG00000189056,0.0136983428295608,0.9863016571704392,7,1.0
SLC25A22,ENSG00000177542,0.0140218947055004,0.9859781052944996,11,
ZNF292,ENSG00000188994,0.0144057978891692,0.9855942021108308,6,1.0
AFF2,ENSG00000155966,0.0149165012439899,0.98508349875601,X,1.0
NOVA2,ENSG00000104967,0.0164709368947699,0.98352906310523,19,
EHMT1,ENSG00000181090,0.0171457993437176,0.9828542006562824,9,1.0
MYCBP2,ENSG00000005810,0.0175481018334374,0.9824518981665624,13,1.0
SLITRK2,ENSG00000185985,0.0181165828966523,0.9818834171033476,X,
CHAMP1,ENSG00000198824,0.018131045098903,0.9818689549010968,13,1.0
DSCAM,ENSG00000171587,0.0183303146017206,0.9816696853982794,21,1.0
ACTR5,ENSG00000101442,0.0188983333547985,0.9811016666452016,20,
PHF2,ENSG00000197724,0.0191189707922315,0.9808810292077684,9,1.0
KDM3B,ENSG00000120733,0.0201209658401627,0.9798790341598372,5,1.0
NIPBL,ENSG00000164190,0.0211080689479253,0.9788919310520746,5,1.0
NBEA,ENSG00000172915,0.0223603973086378,0.9776396026913622,13,1.0
IRF2BPL,ENSG00000119669,0.0228266329354819,0.977173367064518,14,1.0
SMARCC2,ENSG00000139613,0.0234398982936195,0.9765601017063804,12,1.0
FKBP4,ENSG00000004478,0.0253125277216359,0.974687472278364,12,
SRCAP,ENSG00000080603,0.0267312558727873,0.9732687441272126,16,1.0
ITIH1,ENSG00000055957,0.027663266828089,0.9723367331719108,3,
GRIN2B,ENSG00000273079,0.0280978519999357,0.9719021480000642,12,1.0
SCN1A,ENSG00000144285,0.0282682292823849,0.9717317707176152,2,1.0
DLG4,ENSG00000132535,0.0287617071222912,0.9712382928777088,17,1.0
USH2A,ENSG00000042781,0.0292256890814578,0.9707743109185422,1,2.0
NAA15,ENSG00000164134,0.0293561328629586,0.9706438671370412,4,1.0
NLGN2,ENSG00000169992,0.029939426586986,0.970060573413014,17,1.0
HUWE1,ENSG00000086758,0.0302830915666,0.9697169084334,X,
DEPDC5,ENSG00000100150,0.031095744263231,0.968904255736769,22,
PHF8,ENSG00000172943,0.0312638884329862,0.9687361115670138,X,
USP19,ENSG00000172046,0.0314628362652219,0.968537163734778,3,
RUVBL2,ENSG00000183207,0.0330225896620148,0.9669774103379852,19,
BRSK2,ENSG00000174672,0.0330568022635727,0.9669431977364272,11,1.0
MGST3,ENSG00000143198,0.0336125091444899,0.96638749085551,1,
NTNG2,ENSG00000196358,0.0337068467187857,0.9662931532812142,9,
STXBP1,ENSG00000136854,0.0343505672748967,0.9656494327251032,9,1.0
ZBTB20,ENSG00000181722,0.0345776589490677,0.9654223410509324,3,1.0
PACS1,ENSG00000175115,0.0347574119431182,0.9652425880568818,11,1.0
ITIH3,ENSG00000162267,0.0348419323676725,0.9651580676323276,3,
WAC,ENSG00000095787,0.0350630053035858,0.964936994696414,10,1.0
FBRSL1,ENSG00000112787,0.0351175898092983,0.9648824101907016,12,
TAOK1,ENSG00000160551,0.0353256253926664,0.9646743746073336,17,1.0
SETBP1,ENSG00000152217,0.0354709760160761,0.9645290239839238,18,1.0
MED13,ENSG00000108510,0.0356726663579616,0.9643273336420384,17,1.0
ZRANB1,ENSG00000019995,0.0373853579875459,0.962614642012454,10,
GRIN2A,ENSG00000183454,0.0374140251797491,0.9625859748202508,16,1.0
NRXN3,ENSG00000021645,0.0391517951432397,0.9608482048567604,14,1.0
BRWD3,ENSG00000165288,0.0402796614924011,0.9597203385075987,X,
KMT2E,ENSG00000005483,0.0410914817737614,0.9589085182262386,7,1.0
GABRB3,ENSG00000166206,0.0412171175077376,0.9587828824922624,15,1.0
ARHGEF9,ENSG00000131089,0.041460480257674,0.958539519742326,X,1.0
SLC6A1,ENSG00000157103,0.0426868093149455,0.9573131906850544,3,1.0
TBL1XR1,ENSG00000177565,0.043402800306178,0.956597199693822,3,1.0
RPP25,ENSG00000178718,0.0436212203071866,0.9563787796928134,15,
KDM5C,ENSG00000126012,0.0444392867007732,0.9555607132992268,X,1.0
ZMYND8,ENSG00000101040,0.0445481171976495,0.9554518828023504,20,1.0
GIGYF2,ENSG00000204120,0.0446721212068449,0.9553278787931552,2,1.0
PRR12,ENSG00000126464,0.0448384511085286,0.9551615488914712,19,1.0
RUVBL1,ENSG00000175792,0.0456220727682246,0.9543779272317754,3,
KCTD7,ENSG00000243335,0.0471876682336495,0.9528123317663504,7,
RLIM,ENSG00000131263,0.0474585420440953,0.9525414579559046,X,
RAI1,ENSG00000108557,0.0495413066192944,0.9504586933807057,17,1.0
TCEAL4,ENSG00000133142,0.0498360658379039,0.950163934162096,X,
FRMPD4,ENSG00000169933,0.0499702509748974,0.9500297490251024,X,
FOXG1,ENSG00000176165,0.0501551233437009,0.949844876656299,14,1.0
CHD2,ENSG00000173575,0.0503432455184872,0.9496567544815128,15,1.0
KMT2C,ENSG00000055609,0.0503583753086972,0.9496416246913028,7,1.0
WDFY3,ENSG00000163625,0.0509362318311069,0.949063768168893,4,1.0
