Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
USP9X,ENSG00000124486,0.0260399831878416,0.9739600168121584,X,1.0
MED13L,ENSG00000123066,0.0277993816685701,0.97220061833143,12,1.0
FRY,ENSG00000073910,0.0311042512297893,0.9688957487702108,13,
UBR5,ENSG00000104517,0.0315519398660405,0.9684480601339592,8,2.0
USP9Y,ENSG00000114374,0.0325853176904178,0.9674146823095822,Y,2.0
USP34,ENSG00000115464,0.0359091105471252,0.9640908894528748,2,
FRYL,ENSG00000075539,0.0379556952265629,0.9620443047734368,4,
UNC79,ENSG00000133958,0.0417046941975271,0.9582953058024728,14,2.0
DOP1A,ENSG00000083097,0.0428743169052365,0.9571256830947634,6,
FMR1,ENSG00000102081,0.044993559273313,0.955006440726687,X,1.0
RALGAPA1,ENSG00000174373,0.0468994559431812,0.9531005440568188,14,
CHD8,ENSG00000100888,0.0480687734249401,0.95193122657506,14,1.0
CREBBP,ENSG00000005339,0.0489133045219768,0.9510866954780232,16,1.0
MED13,ENSG00000108510,0.0492647594483884,0.9507352405516118,17,1.0
CACNA1A,ENSG00000141837,0.0539075737887003,0.9460924262112996,19,1.0
TRIM24,ENSG00000122779,0.0550980173421678,0.944901982657832,7,
NEDD4L,ENSG00000049759,0.0562661344155212,0.9437338655844788,18,
EP300,ENSG00000100393,0.0600173813927912,0.9399826186072088,22,1.0
MEF2C,ENSG00000081189,0.0613076818395168,0.9386923181604832,5,1.0
DOP1B,ENSG00000142197,0.0646173510896475,0.9353826489103524,21,
MINK1,ENSG00000141503,0.06503519580832,0.93496480419168,17,3.0
MEIS1,ENSG00000143995,0.0668458355887128,0.9331541644112872,2,
NIPBL,ENSG00000164190,0.0677035227923627,0.9322964772076372,5,1.0
HDAC2,ENSG00000196591,0.0689983066069047,0.9310016933930954,6,
EIF3E,ENSG00000104408,0.0690422697574673,0.9309577302425328,8,
MED12,ENSG00000184634,0.0691931230845478,0.9308068769154522,X,
CELF4,ENSG00000101489,0.0703599777710091,0.9296400222289908,18,1.0
MED12L,ENSG00000144893,0.071806768755677,0.928193231244323,3,2.0
ZSWIM8,ENSG00000214655,0.0725239727900992,0.9274760272099009,10,
SNRNP70,ENSG00000104852,0.0728636346107076,0.9271363653892924,19,
HTT,ENSG00000197386,0.073755776793161,0.9262442232068392,4,
ZFHX3,ENSG00000140836,0.0790411789968758,0.920958821003124,16,
NF1,ENSG00000196712,0.0797067127688979,0.920293287231102,17,1.0
GRIN2A,ENSG00000183454,0.0808480514054792,0.9191519485945208,16,1.0
NBEA,ENSG00000172915,0.0809459366306564,0.9190540633693436,13,1.0
PCNX1,ENSG00000100731,0.081076573260728,0.918923426739272,14,
BCLAF1,ENSG00000029363,0.0818898714549843,0.9181101285450156,6,
RAB6A,ENSG00000175582,0.0825377374168178,0.917462262583182,11,
USP15,ENSG00000135655,0.0853494417919252,0.9146505582080748,12,2.0
RAB6B,ENSG00000154917,0.0859469411344104,0.9140530588655896,3,
PTPRT,ENSG00000196090,0.0862184950899666,0.9137815049100334,20,2.0
ZMYND8,ENSG00000101040,0.0863327683893992,0.9136672316106004,20,1.0
NFIX,ENSG00000008441,0.089696871106863,0.910303128893137,19,
PTPRK,ENSG00000152894,0.0908614022468588,0.9091385977531412,6,
KMT2A,ENSG00000118058,0.0915620249640806,0.9084379750359194,11,1.0
PCDH7,ENSG00000169851,0.0915755789190078,0.9084244210809922,4,
RIMS2,ENSG00000176406,0.0917514465084883,0.9082485534915116,8,3.0
PTPRM,ENSG00000173482,0.0935537843604817,0.9064462156395182,18,
BPTF,ENSG00000171634,0.0937676426680236,0.9062323573319764,17,
RUNX1T1,ENSG00000079102,0.0938813270997256,0.9061186729002744,8,1.0
CHD9,ENSG00000177200,0.0944598568330532,0.9055401431669468,16,3.0
TRRAP,ENSG00000196367,0.0946741884407685,0.9053258115592314,7,2.0
GPS1,ENSG00000169727,0.0951851306725927,0.9048148693274072,17,
MLLT10,ENSG00000078403,0.096182190261124,0.903817809738876,10,
SIN3A,ENSG00000169375,0.0966978360074487,0.9033021639925514,15,1.0
IQSEC1,ENSG00000144711,0.0975538939478403,0.9024461060521596,3,
SLITRK5,ENSG00000165300,0.0977633860935191,0.9022366139064808,13,2.0
TNIK,ENSG00000154310,0.0982869010779069,0.901713098922093,3,
ROBO2,ENSG00000185008,0.0985888638499361,0.9014111361500636,3,2.0
HDAC1,ENSG00000116478,0.1007054548159076,0.8992945451840925,1,
PTPRS,ENSG00000105426,0.1016451313290532,0.8983548686709468,19,
KRAS,ENSG00000133703,0.1025921133693376,0.8974078866306623,12,
NEO1,ENSG00000067141,0.102623313942932,0.8973766860570681,15,2.0
ZBTB7A,ENSG00000178951,0.1058756383174826,0.8941243616825175,19,
ANKRD11,ENSG00000167522,0.106110576953,0.8938894230469999,16,1.0
SYNGAP1,ENSG00000197283,0.107191710357004,0.8928082896429959,6,1.0
RIMS1,ENSG00000079841,0.1074359847754928,0.892564015224507,6,1.0
PTPRD,ENSG00000153707,0.1077953758979826,0.8922046241020174,9,
RAB1B,ENSG00000174903,0.1081857892423334,0.8918142107576668,11,
PDS5B,ENSG00000083642,0.1084884296109513,0.8915115703890486,13,
MEF2A,ENSG00000068305,0.1099170489148172,0.8900829510851829,15,
NCOR2,ENSG00000196498,0.1101392598315475,0.8898607401684526,12,
PCNX3,ENSG00000197136,0.1107536428683294,0.8892463571316706,11,
MAST1,ENSG00000105613,0.1112665544827057,0.8887334455172944,19,
MARK3,ENSG00000075413,0.1121835252437703,0.8878164747562296,14,
RAC3,ENSG00000169750,0.1124980388068913,0.8875019611931088,17,
THRAP3,ENSG00000054118,0.1144210506135043,0.8855789493864957,1,
USP7,ENSG00000187555,0.1152178346126535,0.8847821653873463,16,2.0
RAB3D,ENSG00000105514,0.1154073055266628,0.8845926944733371,19,
U2SURP,ENSG00000163714,0.1155065372717431,0.8844934627282569,3,
TBL1XR1,ENSG00000177565,0.1163427746283679,0.8836572253716319,3,1.0
SCAF4,ENSG00000156304,0.1166652030935274,0.8833347969064727,21,2.0
LRBA,ENSG00000198589,0.1180474090140966,0.8819525909859033,4,2.0
RYR1,ENSG00000196218,0.1185903192813544,0.8814096807186453,19,
CHD7,ENSG00000171316,0.1191957659666566,0.8808042340333432,8,1.0
NSD3,ENSG00000147548,0.119308787087265,0.880691212912735,8,
RAB35,ENSG00000111737,0.1196518270249611,0.8803481729750388,12,
NAV2,ENSG00000166833,0.1221095402814378,0.877890459718562,11,2.0
SSBP2,ENSG00000145687,0.1228071410184327,0.8771928589815671,5,
SETD2,ENSG00000181555,0.1230289131202493,0.8769710868797506,3,1.0
RANBP10,ENSG00000141084,0.1244230604255909,0.8755769395744089,16,
SHANK3,ENSG00000251322,0.1254629635818053,0.8745370364181947,22,1.0
TLE3,ENSG00000140332,0.1261834432887432,0.8738165567112568,15,1.0
BRSK1,ENSG00000160469,0.126255305841815,0.8737446941581849,19,
DLG1,ENSG00000075711,0.1269524062690943,0.8730475937309056,3,2.0
HDAC3,ENSG00000171720,0.1271116486844723,0.8728883513155277,5,
ZMIZ1,ENSG00000108175,0.1276474048251335,0.8723525951748664,10,2.0
MED23,ENSG00000112282,0.1297208972678894,0.8702791027321105,6,2.0
RAB11A,ENSG00000103769,0.1297720651179855,0.8702279348820146,15,
TLK1,ENSG00000198586,0.1298587193134188,0.8701412806865811,2,
NRIP1,ENSG00000180530,0.1300645215933597,0.8699354784066402,21,
RAB5A,ENSG00000144566,0.1312205137090596,0.8687794862909403,3,
RAP2B,ENSG00000181467,0.1314599087177669,0.8685400912822331,3,
G3BP2,ENSG00000138757,0.1321470528818899,0.86785294711811,4,2.0
ELAVL2,ENSG00000107105,0.1328987372967094,0.8671012627032907,9,2.0
RAB11B,ENSG00000185236,0.1329406653368932,0.8670593346631067,19,
CHD6,ENSG00000124177,0.1330928795834514,0.8669071204165485,20,
ZBTB21,ENSG00000173276,0.1330965279163341,0.8669034720836659,21,1.0
ANKRD12,ENSG00000101745,0.1332948396462329,0.866705160353767,18,
GRIN2B,ENSG00000273079,0.133300719339983,0.8666992806600169,12,1.0
NEDD4,ENSG00000069869,0.1340423707988331,0.8659576292011668,15,
CASK,ENSG00000147044,0.1351029097443163,0.8648970902556836,X,1.0
SETD1B,ENSG00000139718,0.1358011686342832,0.864198831365717,12,2.0
PSMD6,ENSG00000163636,0.1362243312520119,0.8637756687479881,3,1.0
TET1,ENSG00000138336,0.136276043371794,0.863723956628206,10,
ROBO1,ENSG00000169855,0.1363244378296062,0.8636755621703938,3,
CPEB3,ENSG00000107864,0.1363485761217055,0.8636514238782945,10,
MYCBP2,ENSG00000005810,0.1363730128030473,0.8636269871969525,13,1.0
RAP1B,ENSG00000127314,0.1367581994793099,0.8632418005206901,12,
COPS4,ENSG00000138663,0.137471392033484,0.8625286079665159,4,
RAP2A,ENSG00000125249,0.1377604228940036,0.8622395771059963,13,
ATAD2,ENSG00000156802,0.1378858999110658,0.862114100088934,8,
CUL1,ENSG00000055130,0.1382092909547392,0.8617907090452608,7,
MSI2,ENSG00000153944,0.1389057415999403,0.8610942584000597,17,
BNC2,ENSG00000173068,0.1394394884957902,0.8605605115042098,9,
YBX1,ENSG00000065978,0.1396062462130723,0.8603937537869276,1,
