ensb_prot_id,cluster
ENSG00000004059,2
ENSG00000154928,3
ENSG00000174903,2
ENSG00000139436,2
ENSG00000183054,1
ENSG00000116473,2
ENSG00000108953,2
ENSG00000169375,0
ENSG00000112983,0
ENSG00000035403,2
ENSG00000172354,2
ENSG00000013275,1
ENSG00000149923,1
ENSG00000125686,1
ENSG00000077721,1
ENSG00000121905,3
ENSG00000115904,2
ENSG00000138674,2
ENSG00000069329,2
ENSG00000167461,2
ENSG00000144635,2
ENSG00000129472,2
ENSG00000184432,2
ENSG00000070756,1
ENSG00000133083,3
ENSG00000186716,2
ENSG00000138814,2
ENSG00000168118,2
ENSG00000213047,2
ENSG00000163618,3
ENSG00000153046,0
ENSG00000161960,1
ENSG00000068796,2
ENSG00000103197,2
ENSG00000171132,2
ENSG00000154917,2
ENSG00000196535,2
ENSG00000088538,2
ENSG00000159251,2
ENSG00000142186,2
ENSG00000058091,2
ENSG00000160293,2
ENSG00000075785,2
ENSG00000132842,2
ENSG00000106617,2
ENSG00000164068,1
ENSG00000151150,3
ENSG00000156976,1
ENSG00000170759,2
ENSG00000196277,3
ENSG00000104695,2
ENSG00000126934,2
ENSG00000134287,2
ENSG00000204628,1
ENSG00000175634,2
ENSG00000163602,0
ENSG00000186260,2
ENSG00000120159,1
ENSG00000073969,2
ENSG00000132612,2
ENSG00000095015,2
ENSG00000196712,2
ENSG00000107130,3
ENSG00000144711,2
ENSG00000103769,2
ENSG00000132341,1
ENSG00000180370,2
ENSG00000103043,2
ENSG00000134516,2
ENSG00000111490,2
ENSG00000142627,2
ENSG00000196730,2
ENSG00000104388,2
ENSG00000144566,2
ENSG00000184634,0
ENSG00000114450,2
ENSG00000138193,2
ENSG00000125970,1
ENSG00000111737,2
ENSG00000015568,1
ENSG00000078053,2
ENSG00000167657,2
ENSG00000145715,2
ENSG00000108443,2
ENSG00000165527,2
ENSG00000084733,2
ENSG00000162849,2
ENSG00000100982,1
ENSG00000114353,2
ENSG00000140943,2
ENSG00000103035,1
ENSG00000196405,2
ENSG00000128594,3
ENSG00000105221,2
ENSG00000110328,3
ENSG00000153201,1
ENSG00000173801,2
ENSG00000166446,0
ENSG00000102882,2
ENSG00000125733,2
ENSG00000124313,3
ENSG00000107796,2
ENSG00000067560,2
ENSG00000161681,3
ENSG00000100280,2
ENSG00000106367,2
ENSG00000180815,2
ENSG00000197283,3
ENSG00000066777,2
ENSG00000145362,3
ENSG00000170142,1
ENSG00000101246,2
ENSG00000169750,2
ENSG00000141564,2
ENSG00000141252,2
ENSG00000173482,3
ENSG00000107862,2
ENSG00000044115,2
ENSG00000147459,2
ENSG00000058272,2
ENSG00000150760,2
ENSG00000164885,2
ENSG00000185236,2
ENSG00000113319,2
ENSG00000166128,2
ENSG00000127314,2
ENSG00000183878,0
ENSG00000080371,2
ENSG00000100266,2
ENSG00000131437,2
ENSG00000128512,2
ENSG00000151693,2
ENSG00000143545,2
ENSG00000038382,2
ENSG00000155980,3
ENSG00000113575,2
ENSG00000006125,2
ENSG00000111540,2
ENSG00000158623,2
ENSG00000061987,2
ENSG00000124198,2
ENSG00000120805,2
ENSG00000027075,2
ENSG00000182247,1
ENSG00000114349,2
ENSG00000128340,2
ENSG00000119048,1
ENSG00000081803,3
ENSG00000105723,2
ENSG00000006451,2
ENSG00000067606,2
ENSG00000078142,2
ENSG00000170471,1
ENSG00000133818,2
ENSG00000163558,2
ENSG00000088256,2
ENSG00000131051,1
ENSG00000104408,1
ENSG00000213281,2
ENSG00000064393,0
ENSG00000169213,3
ENSG00000174579,0
ENSG00000197905,0
ENSG00000115091,2
ENSG00000139687,0
ENSG00000181467,2
ENSG00000166016,3
ENSG00000123374,2
ENSG00000100297,1
ENSG00000172780,2
ENSG00000124782,0
ENSG00000123728,2
ENSG00000111664,2
ENSG00000017797,2
ENSG00000149970,3
ENSG00000070770,2
ENSG00000107077,0
ENSG00000141503,2
ENSG00000156599,2
ENSG00000116954,2
ENSG00000119396,2
ENSG00000221978,2
ENSG00000188559,2
ENSG00000134278,2
ENSG00000113448,3
ENSG00000141968,2
ENSG00000187079,2
ENSG00000196591,0
ENSG00000185386,2
ENSG00000119541,2
ENSG00000150672,3
ENSG00000100852,2
ENSG00000072062,2
ENSG00000154310,3
