Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
ZMYND8,ENSG00000101040,1.4662743e-05,0.99998534,20,1.0
CHD9,ENSG00000177200,1.4662743e-05,0.99998534,16,3.0
CHD8,ENSG00000100888,4.6253204e-05,0.99995375,14,1.0
ASH1L,ENSG00000116539,6.2942505e-05,0.99993706,1,1.0
KMT2A,ENSG00000118058,7.092953e-05,0.9999291,11,1.0
CHD4,ENSG00000111642,0.00013434887,0.99986565,12,
NSD3,ENSG00000147548,0.00015974045,0.99984026,8,
BAZ2B,ENSG00000123636,0.00017756224,0.99982244,2,1.0
UBR5,ENSG00000104517,0.00019520521,0.9998048,8,2.0
CHD2,ENSG00000173575,0.00020307302,0.9997969,15,1.0
EP300,ENSG00000100393,0.0002438426,0.99975616,22,1.0
SCAF4,ENSG00000156304,0.00030493736,0.99969506,21,2.0
NIPBL,ENSG00000164190,0.00032687187,0.9996731,5,1.0
BPTF,ENSG00000171634,0.0003399849,0.99966,17,
RUNX1T1,ENSG00000079102,0.0003567934,0.9996432,8,1.0
CHD1,ENSG00000153922,0.00041371584,0.9995863,5,2.0
ANKRD12,ENSG00000101745,0.00042527914,0.9995747,18,
TRIM24,ENSG00000122779,0.00048220158,0.9995178,7,
EIF3E,ENSG00000104408,0.00055259466,0.9994474,8,
USP9Y,ENSG00000114374,0.00059759617,0.9994024,Y,2.0
GRIN2B,ENSG00000273079,0.000600934,0.99939907,12,1.0
DOP1A,ENSG00000083097,0.0006773472,0.99932265,6,
KAT6A,ENSG00000083168,0.0006774664,0.99932253,8,2.0
KAT6B,ENSG00000156650,0.0007021427,0.99929786,10,3.0
SHANK2,ENSG00000162105,0.0007427335,0.99925727,11,1.0
AP2S1,ENSG00000042753,0.0007442832,0.9992557,19,1.0
PBRM1,ENSG00000163939,0.00084245205,0.99915755,3,
SOX5,ENSG00000134532,0.000859499,0.9991405,12,1.0
,ENSG00000285827,0.00088351965,0.9991165,11,
DOT1L,ENSG00000104885,0.0008868575,0.99911314,19,
U2SURP,ENSG00000163714,0.00091290474,0.9990871,3,
PHIP,ENSG00000146247,0.0009358525,0.99906415,6,1.0
