Gene stable ID,Gene name,Transcript stable ID,Ensembl Canonical,Chromosome/scaffold name
ENSG00000210049,MT-TF,ENST00000387314,1.0,MT
ENSG00000211459,MT-RNR1,ENST00000389680,1.0,MT
ENSG00000210077,MT-TV,ENST00000387342,1.0,MT
ENSG00000210082,MT-RNR2,ENST00000387347,1.0,MT
ENSG00000209082,MT-TL1,ENST00000386347,1.0,MT
ENSG00000198888,MT-ND1,ENST00000361390,1.0,MT
ENSG00000210100,MT-TI,ENST00000387365,1.0,MT
ENSG00000210107,MT-TQ,ENST00000387372,1.0,MT
ENSG00000210112,MT-TM,ENST00000387377,1.0,MT
ENSG00000198763,MT-ND2,ENST00000361453,1.0,MT
ENSG00000210117,MT-TW,ENST00000387382,1.0,MT
ENSG00000210127,MT-TA,ENST00000387392,1.0,MT
ENSG00000210135,MT-TN,ENST00000387400,1.0,MT
ENSG00000210140,MT-TC,ENST00000387405,1.0,MT
ENSG00000210144,MT-TY,ENST00000387409,1.0,MT
ENSG00000198804,MT-CO1,ENST00000361624,1.0,MT
ENSG00000210151,MT-TS1,ENST00000387416,1.0,MT
ENSG00000210154,MT-TD,ENST00000387419,1.0,MT
ENSG00000198712,MT-CO2,ENST00000361739,1.0,MT
ENSG00000210156,MT-TK,ENST00000387421,1.0,MT
ENSG00000228253,MT-ATP8,ENST00000361851,1.0,MT
ENSG00000198899,MT-ATP6,ENST00000361899,1.0,MT
ENSG00000198938,MT-CO3,ENST00000362079,1.0,MT
ENSG00000210164,MT-TG,ENST00000387429,1.0,MT
ENSG00000198840,MT-ND3,ENST00000361227,1.0,MT
ENSG00000210174,MT-TR,ENST00000387439,1.0,MT
ENSG00000212907,MT-ND4L,ENST00000361335,1.0,MT
ENSG00000198886,MT-ND4,ENST00000361381,1.0,MT
ENSG00000210176,MT-TH,ENST00000387441,1.0,MT
ENSG00000210184,MT-TS2,ENST00000387449,1.0,MT
ENSG00000210191,MT-TL2,ENST00000387456,1.0,MT
ENSG00000198786,MT-ND5,ENST00000361567,1.0,MT
ENSG00000198695,MT-ND6,ENST00000361681,1.0,MT
ENSG00000210194,MT-TE,ENST00000387459,1.0,MT
ENSG00000198727,MT-CYB,ENST00000361789,1.0,MT
ENSG00000210195,MT-TT,ENST00000387460,1.0,MT
ENSG00000210196,MT-TP,ENST00000387461,1.0,MT
ENSG00000215601,TSPY24P,ENST00000431340,1.0,Y
ENSG00000215603,ZNF92P1Y,ENST00000415010,1.0,Y
ENSG00000231436,RBMY3AP,ENST00000449381,1.0,Y
ENSG00000225878,SERBP1P2,ENST00000436888,1.0,Y
ENSG00000236435,TSPY12P,ENST00000421279,1.0,Y
ENSG00000278478,,ENST00000430032,1.0,Y
ENSG00000258991,DUX4L19,ENST00000557448,1.0,Y
ENSG00000237048,TTTY12,ENST00000413466,1.0,Y
ENSG00000147761,TTTY7B,ENST00000276779,1.0,Y
ENSG00000224518,,ENST00000427212,1.0,Y
ENSG00000231988,OFD1P3Y,ENST00000453312,1.0,Y
ENSG00000238073,RBMY2HP,ENST00000457961,1.0,Y
ENSG00000275866,,ENST00000621514,1.0,Y
ENSG00000131538,TTTY6,ENST00000253838,1.0,Y
ENSG00000271595,ELOCP35,ENST00000604289,1.0,Y
ENSG00000183704,SLC9B1P1,ENST00000331172,1.0,Y
ENSG00000232927,USP12PY,ENST00000427677,1.0,Y
ENSG00000239225,TTTY23,ENST00000452889,1.0,Y
ENSG00000277438,KDM5DP1,ENST00000622542,1.0,Y
ENSG00000147753,TTTY7,ENST00000276770,1.0,Y
ENSG00000286217,LINC00279,ENST00000650816,1.0,Y
ENSG00000259154,DUX4L17,ENST00000557360,1.0,Y
ENSG00000169789,PRY,ENST00000303728,1.0,Y
ENSG00000231874,TSPY18P,ENST00000441642,1.0,Y
ENSG00000273589,,ENST00000612840,1.0,Y
ENSG00000226061,PCMTD1P1,ENST00000455560,1.0,Y
ENSG00000273863,,ENST00000614118,1.0,Y
ENSG00000228571,HSFY7P,ENST00000432672,1.0,Y
ENSG00000271375,,ENST00000604178,1.0,Y
ENSG00000224634,ZNF736P6Y,ENST00000447526,1.0,Y
ENSG00000285470,TUSC2P1,ENST00000645906,1.0,Y
ENSG00000226092,RBMY2AP,ENST00000445405,1.0,Y
ENSG00000212856,TTTY2B,ENST00000651733,1.0,Y
ENSG00000228890,TTTY21,ENST00000430228,1.0,Y
ENSG00000234620,PUDPP1,ENST00000421058,1.0,Y
ENSG00000236690,,ENST00000421675,1.0,Y
ENSG00000273693,CDRT15P10,ENST00000618128,1.0,Y
ENSG00000114374,USP9Y,ENST00000338981,1.0,Y
ENSG00000169807,PRY2,ENST00000303804,1.0,Y
ENSG00000234110,TSPY25P,ENST00000429463,1.0,Y
ENSG00000223422,,ENST00000439805,1.0,Y
ENSG00000231159,OFD1P8Y,ENST00000449148,1.0,Y
ENSG00000225653,RNF19BPY,ENST00000458209,1.0,Y
ENSG00000251618,,ENST00000509611,1.0,Y
ENSG00000229159,TSPY23P,ENST00000440136,1.0,Y
ENSG00000228578,TUBB1P2,ENST00000422712,1.0,Y
ENSG00000231411,DUX4L31,ENST00000446466,1.0,Y
ENSG00000187657,TSPY13P,ENST00000338964,1.0,Y
ENSG00000275280,,ENST00000619838,1.0,Y
ENSG00000270242,ACTR3BP1,ENST00000605584,1.0,Y
ENSG00000236477,RPS24P1,ENST00000438550,1.0,Y
ENSG00000129816,TTTY1B,ENST00000250776,1.0,Y
ENSG00000237997,RCC2P2,ENST00000422174,1.0,Y
ENSG00000244246,ZNF736P8Y,ENST00000451913,1.0,Y
ENSG00000234950,RBMY2OP,ENST00000447105,1.0,Y
ENSG00000198692,EIF1AY,ENST00000361365,1.0,Y
ENSG00000234583,TSPY19P,ENST00000418461,1.0,Y
ENSG00000183753,BPY2,ENST00000331070,1.0,Y
ENSG00000225433,MTND1P12,ENST00000455231,1.0,Y
ENSG00000227166,STSP1,ENST00000412493,1.0,Y
ENSG00000228379,,ENST00000449963,1.0,Y
ENSG00000235857,CTBP2P1,ENST00000431853,1.0,Y
ENSG00000223955,MTND6P1,ENST00000417434,1.0,Y
ENSG00000237195,DLGAP5P1,ENST00000430307,1.0,Y
ENSG00000237447,CDC27P2,ENST00000425026,1.0,Y
ENSG00000185700,TTTY8B,ENST00000455570,1.0,Y
ENSG00000270455,PABPC1P5,ENST00000603738,1.0,Y
ENSG00000229940,TSPY22P,ENST00000427496,1.0,Y
ENSG00000234385,RCC2P1,ENST00000452257,1.0,Y
ENSG00000226863,SHROOM2P1,ENST00000434773,1.0,Y
ENSG00000212855,TTTY2,ENST00000417072,1.0,Y
ENSG00000237968,,ENST00000426526,1.0,Y
ENSG00000233699,TTTY18,ENST00000438677,1.0,Y
ENSG00000286009,,ENST00000652216,1.0,Y
ENSG00000271365,,ENST00000605663,1.0,Y
ENSG00000259029,DUX4L18,ENST00000553347,1.0,Y
ENSG00000226223,TSPY16P,ENST00000449843,1.0,Y
ENSG00000235895,,ENST00000425857,1.0,Y
ENSG00000286201,,ENST00000651678,1.0,Y
ENSG00000223744,RBMY2GP,ENST00000418671,1.0,Y
ENSG00000215537,ZNF736P11Y,ENST00000442535,1.0,Y
ENSG00000230476,OFD1P9Y,ENST00000417699,1.0,Y
ENSG00000225840,,ENST00000445125,1.0,Y
ENSG00000229745,BPY2DP,ENST00000422208,1.0,Y
ENSG00000227204,RBMY2JP,ENST00000425544,1.0,Y
ENSG00000275828,CHEK2P1,ENST00000614446,1.0,Y
ENSG00000232617,,ENST00000426129,1.0,Y
ENSG00000225615,RBMY2UP,ENST00000453474,1.0,Y
ENSG00000230663,FAM224B,ENST00000458667,1.0,Y
ENSG00000232522,ZNF886P,ENST00000450781,1.0,Y
ENSG00000234131,ELOCP8,ENST00000439309,1.0,Y
ENSG00000277519,OFD1P16Y,ENST00000620993,1.0,Y
