0,1,2,4,status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
CELF4,ENSG00000101489,ENSP00000410584,1,9.0,CELF4,"CUGBP, Elav-like family member 4",ENSG00000101489,18,"Rare Single Gene Mutation, Functional",1.0,0.0,8.5,15.0
ZBTB21,ENSG00000173276,ENSP00000308759,1,9.0,ZBTB21,zinc finger and BTB domain containing 21,ENSG00000173276,21,Rare Single Gene Mutation,1.0,0.0,,4.0
DYRK1A,ENSG00000157540,ENSP00000494572,1,9.0,DYRK1A,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,ENSG00000157540,21,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,20.2,75.0
PRR14L,ENSG00000183530,ENSP00000331845,1,9.0,PRR14L,proline rich 14 like,ENSG00000183530,22,Rare Single Gene Mutation,1.0,0.0,,5.0
KCNB1,ENSG00000158445,ENSP00000360806,1,9.0,KCNB1,potassium voltage-gated channel subfamily B member 1,ENSG00000158445,20,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,1.0,,25.0
DSCAM,ENSG00000171587,ENSP00000383303,1,9.0,DSCAM,Down syndrome cell adhesion molecule,ENSG00000171587,21,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,13.5,17.0
NLGN4X,ENSG00000146938,ENSP00000370485,1,9.0,NLGN4X,"neuroligin 4, X-linked",ENSG00000146938,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,12.0,43.0
MKX,ENSG00000150051,ENSP00000400896,1,9.0,MKX,mohawk homeobox,ENSG00000150051,10,Rare Single Gene Mutation,1.0,0.0,0.3,3.0
DPYSL2,ENSG00000092964,ENSP00000427985,1,9.0,DPYSL2,dihydropyrimidinase like 2,ENSG00000092964,8,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,1.0,17.0
PTCHD1,ENSG00000165186,ENSP00000368666,1,9.0,PTCHD1,patched domain containing 1,ENSG00000165186,X,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,0.0,18.0
TCF4,ENSG00000196628,ENSP00000346440,1,9.0,TCF4,Transcription factor 4,ENSG00000196628,18,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,13.5,69.0
CDKL5,ENSG00000008086,ENSP00000485244,1,9.0,CDKL5,cyclin-dependent kinase-like 5,ENSG00000008086,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,57.0
PAX5,ENSG00000196092,ENSP00000350844,1,9.0,PAX5,Paired box 5,ENSG00000196092,9,Rare Single Gene Mutation,1.0,0.0,5.75,10.0
NBEA,ENSG00000172915,ENSP00000369271,1,9.0,NBEA,neurobeachin,ENSG00000172915,13,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,25.0
NUP155,ENSG00000113569,ENSP00000231498,1,9.0,NUP155,nucleoporin 155,ENSG00000113569,5,Rare Single Gene Mutation,1.0,0.0,0.1,4.0
CREBBP,ENSG00000005339,ENSP00000262367,1,9.0,CREBBP,CREB binding protein,ENSG00000005339,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,1.0,31.35,39.0
MYCBP2,ENSG00000005810,ENSP00000444596,1,9.0,MYCBP2,MYC binding protein 2,ENSG00000005810,13,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,9.0
DIP2A,ENSG00000160305,ENSP00000392066,1,9.0,DIP2A,DIP2 disco-interacting protein 2 homolog A (Drosophila),ENSG00000160305,21,"Rare Single Gene Mutation, Functional",1.0,0.0,18.2,13.0
BRSK2,ENSG00000174672,ENSP00000432000,1,9.0,BRSK2,BR serine/threonine kinase 2,ENSG00000174672,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,7.7,12.0
AFF2,ENSG00000155966,ENSP00000359489,1,9.0,AFF2,"AF4/FMR2 family, member 2",ENSG00000155966,X,"Rare Single Gene Mutation, Syndromic",1.0,0.0,8.7,21.0
CHAMP1,ENSG00000198824,ENSP00000354730,1,9.0,CHAMP1,chromosome alignment maintaining phosphoprotein 1,ENSG00000198824,13,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,16.0
TBCK,ENSG00000145348,ENSP00000378198,1,9.0,TBCK,TBC1 domain containing kinase,ENSG00000145348,4,"Rare Single Gene Mutation, Syndromic",1.0,1.0,1.0,4.0
SYN1,ENSG00000008056,ENSP00000295987,1,9.0,SYN1,Synapsin 1,ENSG00000008056,X,"Rare Single Gene Mutation, Functional",1.0,0.0,2.35,28.0
RORB,ENSG00000198963,ENSP00000366093,1,9.0,RORB,RAR related orphan receptor B,ENSG00000198963,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,8.25,13.0
SON,ENSG00000159140,ENSP00000348984,1,9.0,SON,SONDNA binding protein,ENSG00000159140,21,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,11.0,24.0
NIPBL,ENSG00000164190,ENSP00000282516,1,9.0,NIPBL,Nipped-B homolog (Drosophila),ENSG00000164190,5,"Rare Single Gene Mutation, Syndromic",1.0,1.0,15.3,18.0
EHMT1,ENSG00000181090,ENSP00000417980,1,9.0,EHMT1,Euchromatic histone-lysine N-methyltransferase 1,ENSG00000181090,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,13.5,39.0
MSL3,ENSG00000005302,ENSP00000312244,1,9.0,MSL3,MSL complex subunit 3,ENSG00000005302,X,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,6.0
LRRC4C,ENSG00000148948,ENSP00000437132,1,9.0,LRRC4C,leucine rich repeat containing 4C,ENSG00000148948,11,Rare Single Gene Mutation,1.0,0.0,1.25,2.0
ADSL,ENSG00000239900,ENSP00000485525,1,9.0,ADSL,adenylosuccinate lyase,ENSG00000239900,22,"Rare Single Gene Mutation, Syndromic",1.0,1.0,0.35,9.0
TRIM23,ENSG00000113595,ENSP00000231524,1,9.0,TRIM23,tripartite motif containing 23,ENSG00000113595,5,Rare Single Gene Mutation,1.0,0.0,,8.0
CSNK2A1,ENSG00000101266,ENSP00000217244,1,9.0,CSNK2A1,casein kinase 2 alpha 1,ENSG00000101266,20,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,6.2,16.0
SETBP1,ENSG00000152217,ENSP00000497406,1,9.0,SETBP1,SET binding protein 1,ENSG00000152217,18,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,31.0
TCF20,ENSG00000100207,ENSP00000503828,1,9.0,TCF20,Transcription factor 20 (AR1),ENSG00000100207,22,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,38.0,25.0
TSHZ3,ENSG00000121297,ENSP00000240587,1,9.0,TSHZ3,teashirt zinc finger homeobox 3,ENSG00000121297,19,"Rare Single Gene Mutation, Functional",1.0,0.0,,5.0
