Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
KMT2C,ENSG00000055609,0.0075256771853269,0.992474322814673,7,1.0
UBB,ENSG00000170315,0.0152852242175892,0.9847147757824108,17,
H3C13,ENSG00000183598,0.0160706024052368,0.9839293975947632,1,
H3C15,ENSG00000203852,0.0160706024052368,0.9839293975947632,1,
H3C14,ENSG00000203811,0.0160706024052368,0.9839293975947632,1,
KMT2A,ENSG00000118058,0.0163893893119448,0.9836106106880548,11,1.0
BPTF,ENSG00000171634,0.0188375758862517,0.9811624241137484,17,
EP300,ENSG00000100393,0.0192022428023194,0.9807977571976806,22,1.0
ASXL3,ENSG00000141431,0.0203375724746993,0.9796624275253006,18,1.0
ZC3H13,ENSG00000123200,0.0230266407173715,0.9769733592826284,13,
ZMYND8,ENSG00000101040,0.025949398286219,0.974050601713781,20,1.0
CREBBP,ENSG00000005339,0.0267363153108893,0.9732636846891104,16,1.0
ANKRD11,ENSG00000167522,0.0269683997261852,0.9730316002738147,16,1.0
UBR5,ENSG00000104517,0.0278828574817491,0.972117142518251,8,2.0
BOD1L1,ENSG00000038219,0.028345764018652,0.9716542359813478,4,
CALM1,ENSG00000198668,0.0304392292135157,0.969560770786484,14,
CALM3,ENSG00000160014,0.0304392292135157,0.969560770786484,19,
ZFHX3,ENSG00000140836,0.0314894607614201,0.9685105392385802,16,
H3C6,ENSG00000274750,0.0325336346818883,0.9674663653181116,6,
H3C3,ENSG00000287080,0.0325336346818883,0.9674663653181116,6,
H3C8,ENSG00000273983,0.0325336346818883,0.9674663653181116,6,
H3C12,ENSG00000197153,0.0325336346818883,0.9674663653181116,6,
H3C11,ENSG00000275379,0.0325336346818883,0.9674663653181116,6,
H3C7,ENSG00000277775,0.0325336346818883,0.9674663653181116,6,
H3C10,ENSG00000278828,0.0325336346818883,0.9674663653181116,6,
H3C1,ENSG00000275714,0.0325336346818883,0.9674663653181116,6,
H3C2,ENSG00000286522,0.0325336346818883,0.9674663653181116,6,
H3C4,ENSG00000197409,0.0325336346818883,0.9674663653181116,6,
NCOR2,ENSG00000196498,0.0330619782453267,0.9669380217546732,12,
BLTP1,ENSG00000138688,0.0332589991423995,0.9667410008576004,4,
KMT2D,ENSG00000167548,0.0363195987841077,0.9636804012158922,12,
CHD7,ENSG00000171316,0.0383719603492873,0.9616280396507126,8,1.0
NCOR1,ENSG00000141027,0.0383963322821058,0.961603667717894,17,2.0
PRRC2C,ENSG00000117523,0.0393759913990085,0.9606240086009914,1,
ANKRD12,ENSG00000101745,0.0420411382606818,0.9579588617393182,18,
ATF7IP,ENSG00000171681,0.0451050651656532,0.9548949348343468,12,
ZNF608,ENSG00000168916,0.0472500897455076,0.9527499102544924,5,
CHD4,ENSG00000111642,0.0475144687194913,0.9524855312805086,12,
PPP1CC,ENSG00000186298,0.0475428172557868,0.9524571827442132,12,
PPP1CA,ENSG00000172531,0.0476770704438134,0.9523229295561864,11,
SIN3A,ENSG00000169375,0.0501199496930963,0.9498800503069036,15,1.0
SCAF4,ENSG00000156304,0.0504253205567293,0.9495746794432708,21,2.0
PPP2R5E,ENSG00000154001,0.0507144312866469,0.9492855687133532,14,
ZFHX4,ENSG00000091656,0.0510952328885905,0.9489047671114096,8,
CHD8,ENSG00000100888,0.0518587037927845,0.9481412962072152,14,1.0
NBEA,ENSG00000172915,0.0531906760594204,0.9468093239405796,13,1.0
SAP130,ENSG00000136715,0.0536097990225104,0.9463902009774896,2,
CHD9,ENSG00000177200,0.0561691480419118,0.943830851958088,16,3.0
TCF20,ENSG00000100207,0.0574574115343493,0.9425425884656504,22,1.0
TSHZ1,ENSG00000179981,0.0575602119393506,0.9424397880606492,18,1.0
ATXN2,ENSG00000204842,0.0576850481976798,0.94231495180232,12,
CELF4,ENSG00000101489,0.0580033653337093,0.9419966346662906,18,1.0
MLLT10,ENSG00000078403,0.0596527885579323,0.9403472114420676,10,
MED12,ENSG00000184634,0.0598799011721234,0.9401200988278766,X,
CHD6,ENSG00000124177,0.0603534312973372,0.9396465687026628,20,
ARID2,ENSG00000189079,0.0605636259140041,0.9394363740859958,12,2.0
ZNF609,ENSG00000180357,0.0607312691376583,0.9392687308623416,15,
RAB6A,ENSG00000175582,0.0611171162548585,0.9388828837451416,11,
MED1,ENSG00000125686,0.0613730328273509,0.938626967172649,17,
,ENSG00000285238,0.061629673232599,0.938370326767401,12,
TNIK,ENSG00000154310,0.0620252264764264,0.9379747735235736,3,
KAT6A,ENSG00000083168,0.0647544712952062,0.935245528704794,8,2.0
KMT2E,ENSG00000005483,0.0649251594999171,0.9350748405000828,7,1.0
JMJD1C,ENSG00000171988,0.0653486827622339,0.9346513172377664,10,2.0
NEDD4L,ENSG00000049759,0.0657155770969214,0.9342844229030786,18,
