Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
AUTS2,ENSG00000158321,0.0002676151080811,0.9997323848919188,7,1.0
ADNP,ENSG00000101126,0.0006271530204929,0.999372846979507,20,1.0
MED13L,ENSG00000123066,0.0007945517150704,0.9992054482849296,12,1.0
CHD8,ENSG00000100888,0.0008571980708598,0.9991428019291402,14,1.0
SYNGAP1,ENSG00000197283,0.0009082933777055,0.9990917066222944,6,1.0
MBD5,ENSG00000204406,0.0009193409277592,0.9990806590722408,2,1.0
PTCHD1,ENSG00000165186,0.001093836410574,0.998906163589426,X,1.0
RALGAPB,ENSG00000170471,0.0013914574440127,0.9986085425559872,20,1.0
IQSEC2,ENSG00000124313,0.0015669834703183,0.9984330165296816,X,1.0
SETD5,ENSG00000168137,0.0021816812698522,0.9978183187301476,3,1.0
NLGN3,ENSG00000196338,0.0028426217736704,0.9971573782263295,X,1.0
KMT5B,ENSG00000110066,0.0028695198728732,0.9971304801271268,11,1.0
NLGN4X,ENSG00000146938,0.0031306742144746,0.9968693257855252,X,1.0
ARID1B,ENSG00000049618,0.003257274146512,0.996742725853488,6,1.0
CDKL5,ENSG00000008086,0.003355201195254,0.996644798804746,X,1.0
ANKRD11,ENSG00000167522,0.0033821861842545,0.9966178138157454,16,1.0
TBR1,ENSG00000136535,0.0041747179943076,0.9958252820056924,2,1.0
PCDH19,ENSG00000165194,0.0043487743399848,0.9956512256600152,X,1.0
ASXL3,ENSG00000141431,0.004450074199871,0.9955499258001288,18,1.0
FOXP2,ENSG00000128573,0.0051582743326975,0.9948417256673024,7,1.0
MYT1L,ENSG00000186487,0.0052577369868431,0.9947422630131568,2,1.0
MECP2,ENSG00000169057,0.0053397707178306,0.9946602292821694,X,1.0
ASH1L,ENSG00000116539,0.0058076368580063,0.9941923631419936,1,1.0
NEXMIF,ENSG00000050030,0.006003780665959,0.9939962193340408,X,1.0
PHF3,ENSG00000118482,0.0073673814116238,0.992632618588376,6,1.0
TCF20,ENSG00000100207,0.0079144784209878,0.9920855215790122,22,1.0
NRXN1,ENSG00000179915,0.0085667785805313,0.9914332214194688,2,1.0
GIGYF1,ENSG00000146830,0.0087156247201508,0.9912843752798493,7,1.0
SHANK2,ENSG00000162105,0.0087747018610616,0.9912252981389384,11,1.0
SLC9A6,ENSG00000198689,0.0102865040045536,0.9897134959954464,X,1.0
SCN2A,ENSG00000136531,0.0111493043574331,0.9888506956425668,2,1.0
ZNF292,ENSG00000188994,0.0117445210474214,0.9882554789525786,6,1.0
ARX,ENSG00000004848,0.0126653341229273,0.9873346658770726,X,1.0
PHF2,ENSG00000197724,0.0126703938450978,0.9873296061549022,9,1.0
RELN,ENSG00000189056,0.0141579234098049,0.9858420765901952,7,1.0
SLC25A22,ENSG00000177542,0.0145139070002126,0.9854860929997874,11,
KDM3B,ENSG00000120733,0.0153520606910639,0.984647939308936,5,1.0
FMR1,ENSG00000102081,0.0155042131700564,0.9844957868299437,X,1.0
EHMT1,ENSG00000181090,0.0156231765082534,0.9843768234917466,9,1.0
DSCAM,ENSG00000171587,0.0158967068066225,0.9841032931933774,21,1.0
BRSK2,ENSG00000174672,0.0173658633061328,0.9826341366938672,11,1.0
MYCBP2,ENSG00000005810,0.0187983554936957,0.9812016445063042,13,1.0
AFF2,ENSG00000155966,0.0195444191503668,0.9804555808496332,X,1.0
CHAMP1,ENSG00000198824,0.0197308444637082,0.9802691555362918,13,1.0
ZBTB20,ENSG00000181722,0.0199241381169138,0.9800758618830862,3,1.0
NLGN2,ENSG00000169992,0.0208829006287708,0.9791170993712291,17,1.0
NIPBL,ENSG00000164190,0.0218986691745755,0.9781013308254244,5,1.0
NBEA,ENSG00000172915,0.0231636237005681,0.976836376299432,13,1.0
SRCAP,ENSG00000080603,0.023481957216879,0.9765180427831208,16,1.0
SCN1A,ENSG00000144285,0.0259246939238961,0.9740753060761038,2,1.0
SMARCC2,ENSG00000139613,0.0270505563530164,0.9729494436469835,12,1.0
ARHGEF9,ENSG00000131089,0.0270570646899122,0.9729429353100878,X,1.0
PRR12,ENSG00000126464,0.0277658733153189,0.972234126684681,19,1.0
WAC,ENSG00000095787,0.0282278024208272,0.9717721975791728,10,1.0
DLG4,ENSG00000132535,0.0292128713494813,0.9707871286505186,17,1.0
GRIN2B,ENSG00000273079,0.0303672061460412,0.9696327938539588,12,1.0
PACS1,ENSG00000175115,0.0304677877856899,0.96953221221431,11,1.0
STXBP1,ENSG00000136854,0.0315573838149074,0.9684426161850924,9,1.0
NAA15,ENSG00000164134,0.0316020915007024,0.9683979084992976,4,1.0
IRF2BPL,ENSG00000119669,0.0333690466597302,0.9666309533402696,14,1.0
MED13,ENSG00000108510,0.0345212080345038,0.965478791965496,17,1.0
WDFY3,ENSG00000163625,0.0347684027325353,0.9652315972674648,4,1.0
CELF4,ENSG00000101489,0.0348594458048682,0.9651405541951318,18,1.0
